Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
rufinamide,Banzel,2004-10-08,Treatment of Lennox-Gastaut Syndrome.,Designated/Approved,,,Adjunctive therapy of seizures associated with Lennox-Gastaut syndrome.,2008-11-14,2015-11-14,,"Eisai, Inc.",300 Tice Blvd,,Woodcliff Lake,New Jersey,' 07677 ' ,United States,193504.0
ruxolitinib,Jakafi,2016-11-03,Treatment of graft versus host disease,Designated/Approved,,,Treatment of chronic graft-versus-host disease (cGVHD) after failure of one or two lines of systemic therapy in adult and pediatric patients 12 years and older,2021-09-22,2028-09-22,Treatment of chronic graft-versus-host disease (cGVHD) after failure of one or two lines of systemic therapy in adult and pediatric patients 12 years and older,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,' 19803 ' ,United States,542716.0
ruxolitinib,JAKAFI,2016-11-03,Treatment of graft versus host disease,Designated/Approved,,,Treatment of steroid-refractory acute graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older.,2019-05-24,2026-05-24,Treatment of steroid-refractory acute graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older.,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,' 19803 ' ,United States,542716.0
ruxolitinib,Jakafi,2010-03-26,Treatment of polycythemia vera,Designated/Approved,,,Treatment of patients with polycythemia vera who have had an inadequate response to or are intolerant of hydroxyurea.,2014-12-04,2021-12-04,Treatment of patients with polycythemia vera who have had an inadequate response to or are intolerant of hydroxyurea.,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,' 19803 ' ,United States,302310.0
ruxolitinib phosphate,Jakafi,2008-09-05,Treatment of myelofibrosis,Designated/Approved,,,"Treatment of patients with intermediate or high-risk myelofibrosis, including primary myelofibrosis, post-polycythemia vera myelofibrosis and post-essential thrombocythemia myelofibrosis",2011-11-16,2018-11-16,,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,' 19803 ' ,United States,265308.0
Sacrosidase,Sucraid,1993-12-10,Treatment of congenital sucrase-isomaltase deficiency,Designated/Approved,,,"Oral replacement therapy of the genetically determined sucrase deficiency, which is part of congenital sucrease-isomaltase deficiency.",1998-04-09,2005-04-09,,"QOL Medical, LLC","4445 North Highway A1A, 241",,Vero Beach,Florida,' 32963 ' ,United States,78693.0
sapropterin,Kuvan,2004-01-29,Treatment of hyperphenylalaninemia,Designated/Approved,,,Indicated to reduce blood phenylalanine (Phe) levels in patients with hyperphenylalaninemia (HPA) due to tetrahydrobiopterin- (BH4-) responsive Phenylketonuria (PKU). Kuvan is to be used in conjunction with a Phe-restricted diet.,2007-12-13,2014-12-13,,"BioMarin Pharmaceutical, Inc.",105 Digital Drive,,Novato,California,' 94949 ' ,United States,181503.0
Sargramostim,Leukine,1995-03-06,To reduce neutropenia and leukopenia and decrease the incidence of death due to infection in patients with acute myelogenous leukemia.,Designated/Approved,,,Following induction chemotherapy in older adult patients with acute myelogenous leukemia to shorten time to neutrophil recovery and to reduce the incidence of severe and life-threatening infections and infections resulting in death.,1995-09-15,2002-09-15,,Immunex Corporation,51 University Street,,Seattle,Washington,' 98101 ' ,United States,81494.0
sargramostim,Leukine,2016-11-09,Treatment of individuals acutely exposed to myelosuppressive doses of radiation (hematopoietic syndrome of acute radiation syndrome),Designated/Approved,,,LEUKINE® is indicated to increase survival in adult and pediatric patients from birth to 17 years of age acutely exposed to myelosuppressive doses of radiation (Hematopoietic Syndrome of Acute Radiation Syndrome [H-ARS]).,2018-03-29,2025-03-29,to increase survival in adult and pediatric patients from birth to 17 years of age acutely exposed to myelosuppressive doses of radiation (Hematopoietic Syndrome of Acute Radiation Syndrome [H-ARS]),"Partner Therapeutics, Inc.",19 Muzzey Street,,Lexington,Massachusetts,' 02421 ' ,United States,541816.0
sargramostim,Leukine,1990-05-03,"Treatment of neutropenia associated with bone marrow transplant, for the treatment of graft failure and delay of engraftment, and for the promotion of early engraftment.",Designated/Approved,,,,1991-03-05,1998-03-05,,Immunex Corporation,51 University Street,,Seattle,Washington,' 98101 ' ,United States,44290.0
satralizumab-mwge,Enspryng,2014-06-30,Treatment of neuromyelitis optica and neuromyelitis optica spectrum disorder,Designated/Approved,,,treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,2020-08-14,2027-08-14,treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,"Genentech, Inc.",1 DNA WAY,,SOUTH SAN FRANCISCO,California,' 94080 ' ,United States,436114.0
Satumomab pendetide,Oncoscint CR/OV,1989-09-25,Detection of ovarian carcinoma.,Designated/Approved,,,For determining the extent and location of extraphepatic malignant disease in patients with known colorectal and ovarian cancer.,1992-12-29,1999-12-29,,Cytogen Corporation,600 College Road East,,Princeton,New Jersey,' 08540 ' ,United States,36789.0
sebelipase alfa,Kanuma,2010-07-01,Treatment of lysosomal acid lipase deficiency,Designated/Approved,,,Indicated for the treatment of patients with a diagnosis of Lysosomal Acid Lipase (LAL) deficiency,2015-12-08,2022-12-08,Indicated for the treatment of patients with a diagnosis of Lysosomal Acid Lipase (LAL) deficiency,Alexion Pharmaceuticals,100 College Street,,New Haven,Connecticut,' 06510 ' ,United States,309410.0
seladelpar,Livdelzi,2016-11-07,Treatment of primary biliary cholangitis,Designated/Approved,,,"treatment of primary biliary cholangitis (PBC) in combination with ursodeoxycholic acid (UDCA) in adults who have had an inadequate response to UDCA, or as monotherapy in patients unable to tolerate UDCA",2024-08-14,2031-08-14,"treatment of primary biliary cholangitis (PBC) in adults who have had an inadequate response to ursodeoxycholic acid (UDCA), or in patients unable to tolerate UDCA","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,543416.0
Selegiline HCl,Eldepryl,1984-11-07,"As an adjuvant to levodopa and carbidopa treatment of idiopathic Parkinson's disease (paralysis agitans), postencephalitic Parkinsonism, and symptomatic Parkinsonism.",Designated/Approved,,,,1989-06-05,1996-06-05,,"Somerset Pharmaceuticals, Inc.","400 Morris Ave., Suite 7s",,Denville,New Jersey,' 07834 ' ,United States,583.0
selexipag,Uptravi,2010-04-30,Treatment of pulmonary arterial hypertension,Designated/Approved,,,"For treatment of pulmonary arterial hypertension (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization for PAH",2015-12-21,2022-12-21,"For treatment of pulmonary arterial hypertension (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization for PAH",Actelion Pharmaceuticals Ltd,Gewerbestrasse 16,,Allschwil,,' ' ,Switzerland,304810.0
selexipag,Uptravi,2010-04-30,Treatment of pulmonary arterial hypertension,Designated/Approved,,,"Treatment of pulmonary arterial hypertension (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization for PAH",2021-07-29,,,Actelion Pharmaceuticals Ltd,Gewerbestrasse 16,,Allschwil,,' ' ,Switzerland,304810.0
selinexor,XPOVIO,2015-01-05,Treatment of multiple myeloma,Designated/Approved,,,"XPOVIO is indicated in combination with dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma (RRMM) who have received at least four prior therapies and whose disease is refractory to at least two proteasome inhibitors, at least two immunomodulatory agents, and an anti-CD38 monoclonal antibody.",2019-07-03,2026-07-03,"Indicated in combination with dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma (RRMM) who have received at least four prior therapies and whose disease is refractory to at least two proteasome inhibitors, at least two immunomodulatory agents, and an anti-CD38 monoclonal antibody.","Karyopharm Therapeutics, Inc.","85 Wells Avenue, Suite 210",,Newton,Massachusetts,' 02459 ' ,United States,459014.0
selinexor,Xpovio,2015-01-05,Treatment of multiple myeloma,Designated/Approved,,,in combination with bortezomib and dexamethasone for the treatment of adult patients with multiple myeloma who have received at least one prior therapy,2020-12-18,2027-12-18,"for the treatment of adult patients with multiple myeloma who have received at least one prior therapy, excluding adult patients covered by Xpovio's previous indication for multiple myeloma approved on July 3, 2019","Karyopharm Therapeutics, Inc.","85 Wells Avenue, Suite 210",,Newton,Massachusetts,' 02459 ' ,United States,459014.0
selinexor,Xpovio,2014-05-14,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,"XPOVIO is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, including DLBCL arising from follicular lymphoma, after at least 2 lines of systemic therapy.",2020-06-22,2027-06-22,"For the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), not otherwise specified, including DLBCL arising from follicular lymphoma, after at least 2 lines of systemic therapy","Karyopharm Therapeutics, Inc.",2 Mercer Road,,Natick,Massachusetts,' 01760 ' ,United States,436414.0
selpercatinib,Retevmo,2022-05-19,Treatment of tissue-agnostic RET fusion-positive solid tumors,Designated/Approved,,,"treatment of adult and pediatric patients 2 years of age and older with locally advanced or metastatic solid tumors with a RET gene fusion, as detected by an FDA-approved test, that have progressed on or following prior systemic treatment or who have no satisfactory alternative treatment options",2024-05-29,2031-05-29,"treatment of pediatric patients 2 years of age and older with locally advanced or metastatic solid tumors with a RET gene fusion, as detected by an FDA-approved test, that have progressed on or following prior systemic treatment or who have no satisfactory alternative treatment options","Loxo Oncology Inc., a wholly owned subsidiary of Eli Lilly and Company",Lilly Corporate Center,,Indianapolis,Indiana,' 46285 ' ,United States,849621.0
selpercatinib,RETEVMO,2019-11-21,"Treatment of RET fusion-positive or RET mutant thyroid cancers including poorly differentiated thyroid cancer, undifferentiated or anaplastic thyroid cancer, medullary thyroid cancer, and locally advanced or metastatic follicular or papillary thyroid cancer",Designated/Approved,,,RETEVMO is indicated for the treatment of: ¿ Adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; ¿ Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate),2020-05-08,2027-05-08,"For the treatment of: adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; and, adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate).","Loxo Oncology Inc., a wholly owned subsidiary of Eli Lilly and Company","701 Gateway Boulevard, Suite 420",,South San Francisco,California,' 94080 ' ,United States,653118.0
selpercatinib,Retevmo,2019-11-21,"Treatment of RET fusion-positive or RET mutant thyroid cancers including poorly differentiated thyroid cancer, undifferentiated or anaplastic thyroid cancer, medullary thyroid cancer, and locally advanced or metastatic follicular or papillary thyroid cancer",Designated/Approved,,,"treatment of adult and pediatric patients 2 years of age and older with advanced or metastatic medullary thyroid cancer (MTC) with a RET mutation, as detected by an FDA-approved test, who require systemic therapy; and treatment of adult and pediatric patients 2 years of age and older with advanced or metastatic thyroid cancer with a RET gene fusion, as detected by an FDA-approved test, who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate)",2024-05-29,2031-05-29,"treatment of pediatric patients 2 years of age to less than 12 years of age with advanced or metastatic medullary thyroid cancer (MTC) with a RET mutation, as detected by an FDA-approved test, who require systemic therapy; and treatment of pediatric patients 2 years of age to less than 12 years of age with advanced or metastatic thyroid cancer with a RET gene fusion, as detected by an FDA-approved test, who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate)","Loxo Oncology Inc., a wholly owned subsidiary of Eli Lilly and Company","701 Gateway Boulevard, Suite 420",,South San Francisco,California,' 94080 ' ,United States,653118.0
selpercatinib,RETEVMO,2019-10-30,Treatment of RET-fusion-positive non-small cell lung cancer,Designated/Approved,,,RETEVMO is indicated for the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC),2020-05-08,2027-05-08,For the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC),"Loxo Oncology Inc., a wholly owned subsidiary of Eli Lilly and Company","701 Gateway Boulevard, Suite 420",,South San Francisco,California,' 94080 ' ,United States,675218.0
selpercatinib,Retevmo,2019-10-30,Treatment of RET-fusion-positive non-small cell lung cancer,Designated/Approved,,,"Treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with a rearranged during transfection (RET) gene fusion, as detected by an FDA-approved test",2022-09-21,2029-09-21,"treatment of adult patients with locally advanced non-small cell lung cancer (NSCLC) with a rearranged during transfection (RET) gene fusion, as detected by an FDA-approved test","Loxo Oncology Inc., a wholly owned subsidiary of Eli Lilly and Company","701 Gateway Boulevard, Suite 420",,South San Francisco,California,' 94080 ' ,United States,675218.0
selpercatinib,Retevmo,2022-05-19,Treatment of tissue-agnostic RET fusion-positive solid tumors,Designated/Approved,,,Treatment of adult patients with locally advanced or metastatic solid tumors with a RET gene fusion that have progressed on or following prior systemic treatment or who have no satisfactory alternative treatment options,2022-09-21,2029-09-21,Treatment of adult patients with locally advanced or metastatic solid tumors with a RET gene fusion that have progressed on or following prior systemic treatment or who have no satisfactory alternative treatment options,"Loxo Oncology Inc., a wholly owned subsidiary of Eli Lilly and Company",Lilly Corporate Center,,Indianapolis,Indiana,' 46285 ' ,United States,849621.0
selumetinib,,2018-02-14,Treatment of Neurofibromatosis Type 1,Designated/Approved,,,"KOSELUGO is indicated for the treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN)",2020-04-10,2027-04-10,"Indicated for the treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN).",AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,' 19803 ' ,United States,624017.0
Sermorelin acetate,Geref,1988-09-14,Treatment of idiopathic or organic growth hormone deficiency in children with growth failure.,Designated/Approved,,,,1997-09-26,2004-09-26,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,' 02370 ' ,United States,24687.0
setmelanotide,Imcivree,2019-09-19,Treatment of Bardet-Biedl syndrome,Designated/Approved,,,For chronic weight management in adult and pediatric patients 6 years of age and older with monogenic or syndromic obesity due to Bardet-Biedl syndrome (BBS),2022-06-16,2029-06-16,For chronic weight management in adult and pediatric patients 6 years of age and older with monogenic or syndromic obesity due to Bardet-Biedl syndrome (BBS),"Rhythm Pharmaceuticals, Inc",222 Berkeley Street,Suite 1200,Boston,Massachusetts,' 02116 ' ,United States,700719.0
setmelanotide,Imcivree,2017-11-27,Treatment of leptin receptor deficiency,Designated/Approved,,,"to reduce excess body weight and maintain weight reduction long term in adults and pediatric patients aged 2 years and older with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS)",2024-12-20,2031-12-20,"to reduce excess body weight and maintain weight reduction long term in pediatric patients aged 2 years to less than 6 years with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS)","Rhythm Pharmaceuticals, Inc.","222 Berkeley St., Suite 1200",,Boston,Massachusetts,' 02116 ' ,United States,613717.0
setmelanotide,Imcivree,2019-09-19,Treatment of Bardet-Biedl syndrome,Designated/Approved,,,to reduce excess body weight and maintain weight reduction long term in adults and pediatric patients aged 2 years and older with syndromic or monogenic obesity due to Bardet-Biedl syndrome (BBS),2024-12-20,2031-12-20,to reduce excess body weight and maintain weight reduction long term in pediatric patients aged 2 years to less than 6 years with syndromic or monogenic obesity due to Bardet-Biedl syndrome (BBS),"Rhythm Pharmaceuticals, Inc",222 Berkeley Street,Suite 1200,Boston,Massachusetts,' 02116 ' ,United States,700719.0
setmelanotide,Imcivree,2017-11-27,Treatment of leptin receptor deficiency,Designated/Approved,,,"Chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).",2020-11-25,2027-11-25,"Chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).","Rhythm Pharmaceuticals, Inc.","222 Berkeley St., Suite 1200",,Boston,Massachusetts,' 02116 ' ,United States,613717.0
setmelanotide,Imcivree,2016-04-04,Treatment of pro-opiomelanocortin (POMC) deficiency due to mutations in the POMC gene,Designated/Approved,,,"chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).",2020-11-25,2027-11-25,"chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).","Rhythm Pharmaceuticals, Inc.","222 Berkeley St., Suite 1200",,Boston,Massachusetts,' 02116 ' ,United States,514815.0
setmelanotide,Imcivree,2016-04-04,Treatment of pro-opiomelanocortin (POMC) deficiency due to mutations in the POMC gene,Designated/Approved,,,"to reduce excess body weight and maintain weight reduction long term in adults and pediatric patients aged 2 years and older with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS)",2024-12-20,2031-12-20,"to reduce excess body weight and maintain weight reduction long term in pediatric patients aged 2 years to less than 6 years with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS)","Rhythm Pharmaceuticals, Inc.","222 Berkeley St., Suite 1200",,Boston,Massachusetts,' 02116 ' ,United States,514815.0
sildenafil,Revatio,2011-07-28,Treatment of pediatric (defined as children less than 17 years of age) pulmonary arterial hypertension,Designated/Approved,,,"treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients (1 to 17 years old) to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underlie improvements in exercise",2023-03-03,,,Viatris Specialty LLC,3711 Collins Ferry Road,,Morgantown,West Virginia,' 26505 ' ,United States,344211.0
sildenafil,Revatio,2011-07-28,Treatment of pediatric (defined as children less than 17 years of age) pulmonary arterial hypertension,Designated/Approved,,,"treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients 1 to 17 years old to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underly improvements in exercise",2023-01-31,2030-01-31,"treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients 1 to 17 years old to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underly improvements in exercise",Viatris Specialty LLC,3711 Collins Ferry Road,,Morgantown,West Virginia,' 26505 ' ,United States,344211.0
siltuximab,SYLVANT,2006-05-26,Treatment of Castleman's disease,Designated/Approved,,,Treatment of patients with multicentric Castleman's disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.,2014-04-23,2021-04-23,Treatment of patients with multicentric Castleman's disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.,Recordati Rare Diseases Inc.,440 Route 22 East,,Bridgewater,New Jersey,' 08807 ' ,United States,200605.0
sirolimus,Rapamune,2012-10-31,Treatment of lymphangioleiomyomatosis,Designated/Approved,,,Treatment of lymphangioleiomyomatosis (LAM),2015-05-28,2022-05-28,Treatment of lymphangioleiomyomatosis (LAM),"Pfizer, Inc.",500 Arcola Road,,Collegeville,Pennsylvania,' 19426 ' ,United States,379312.0
sirolimus,Hyftor,2017-05-17,Treatment of angiofibroma associated with tuberous sclerosis,Designated/Approved,,,treatment of facial angiofibroma associated with tuberous sclerosis in adults and pediatric patients 6 years of age and older,2022-03-22,2029-03-22,treatment of facial angiofibroma associated with tuberous sclerosis in adults and pediatric patients 6 years of age and older,"NobelPharma Co., LTD",12-10 Nihonbashi-kobunacho,,Chuo-ku,Tokyo-to,' ' ,Japan,568416.0
sirolimus protein-bound particles for injectable suspension (albumin-bound),Fyarro,2017-12-21,Treatment of perivascular epithelioid cell tumors (PEComa),Designated/Approved,,,treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumor (PEComa),2021-11-22,2028-11-22,treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumor (PEComa),"Aadi Bioscience, Inc.","17383 Sunset Blvd, A250",,Pacific Palisades,California,' 90272 ' ,United States,616217.0
sodium nitrite and sodium thiosulfate,Nithiodote,2008-04-09,Treatment of known or suspected cyanide poisoning,Designated/Approved,,,For sequential use for the treatment of cyanide poisoning that is judged to be life-threatening,2011-01-14,2018-01-14,,Hope Pharmaceuticals,16416 North 92nd Street,Suite 125,Scottsdale,Arizona,' 85260 ' ,United States,244207.0
sodium oxybate,Xyrem,1994-11-07,Treatment of narcolepsy.,Designated/Approved,,,Treatment of excessive daytime sleepiness in patients with narcolepsy,2005-11-18,2012-11-18,,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin 4,,' D04 E5W7 ' ,Ireland,85894.0
sodium oxybate,Xyrem,1994-11-07,Treatment of narcolepsy.,Designated/Approved,,,Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy.,2018-10-26,2025-10-26,Xyrem is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in pediatric patients 7 years of age and older with narcolepsy.,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin 4,,' D04 E5W7 ' ,Ireland,85894.0
sodium oxybate,Xyrem,1994-11-07,Treatment of narcolepsy.,Designated/Approved,,,Treatment of cataplexy associated with narcolepsy,2002-07-17,2009-07-17,,Jazz Pharmaceuticals Ireland Limited,5th Floor Waterloo Exchange,Waterloo Road,Dublin 4,,' D04 E5W7 ' ,Ireland,85894.0
sodium oxybate,Lumryz,2018-01-08,Treatment of narcolepsy,Designated/Approved,,,Treatment of cataplexy or excessive daytime sleepiness (EDS) in adults with narcolepsy,2023-05-01,2030-05-01,Treatment of cataplexy or excessive daytime sleepiness (EDS) in adults with narcolepsy,Flamel Ireland Limited dba Avadel Ireland,10 Earlsfort Terrace,,Dublin,Dublin,' ' ,Ireland,530216.0
sodium oxybate,Lumryz,2018-01-08,Treatment of narcolepsy,Designated/Approved,,,treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy,2024-10-16,2031-10-16,treatment of cataplexy or excessive daytime sleepiness (EDS) in pediatric patients 7 years of age and older with narcolepsy,Flamel Ireland Limited dba Avadel Ireland,10 Earlsfort Terrace,,Dublin,Dublin,' ' ,Ireland,530216.0
sodium phenylbutyrate,Buphenyl,1993-11-22,"Treatment of urea cycle disorders: carbamylphosphate synthetase deficiency, ornithine transcarbamylase deficiency, and arginiosuccinic acid synthetase deficiency.",Designated/Approved,,,"Adjunctive therapy in the chronic managment of patients with urea cycle disorders involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase, or argininosuccinic acid synthetase.",1996-04-30,2003-04-30,,Medicis Pharmaceutical Corp.,8125 N. Hayden Road,,Scottsdale,Alaska,' 85258 ' ,United States,77893.0
sodium phenylbutyrate,Pheburane,2013-06-06,Treatment of urea cycle disorders,Designated/Approved,,,"As adjunctive therapy to standard of care, which includes dietary management, for the chronic management of adult and pediatric patients with urea cycle disorders (UCDs), involving deficiencies of carbamylphosphate synthetase (CPS), ornithine transcarbamylase (OTC) or argininosuccinic acid synthetase (AS)",2022-06-17,,,Medunik Canada Inc,950 Boulevard Michèle-Bohec,,Blainville,,' ' ,Canada,372112.0
sodium phenylbutyrate and taurursodiol,Relyvrio,2017-07-27,Treatment of amyotrophic lateral sclerosis (ALS),Designated/Approved,,,Treatment of amyotrophic lateral sclerosis (ALS) in adults,2022-09-29,2029-09-29,Treatment of amyotrophic lateral sclerosis (ALS) in adults,"Amylyx Pharmaceuticals, Inc.",43 Thorndike St.,,Cambridge,Massachusetts,' 02141 ' ,United States,588117.0
"sodium sulfate, potassium sulfate, and magnesium sulfate",SUPREP Bowel Prep Kit,2012-10-31,For cleansing of the colon in preparation for colonoscopic diagnosis of colonic disease in children and adolescents,Designated/Approved,,,for cleansing of the colon as a preparation for colonoscopy in adult and pediatric patients 12 years of age and older,2020-08-05,2027-08-05,for cleansing of the colon as a preparation for colonoscopy in pediatric patients 12 years of age and older.,"Braintree Laboratories, Inc.",60 Columbian Street West,PO Box 850929,Braintree,Massachusetts,' 02185 ' ,United States,379212.0
sodium thiosulfate,Pedmark,2004-03-17,Prevention of platinum-induced ototoxicity in pediatric patients,Designated/Approved,,,"To reduce the risk of ototoxicity associated with cisplatin in pediatric patients 1 month of age and older with localized, non-metastatic solid tumors",2022-09-20,2029-09-20,"To reduce the risk of ototoxicity associated with cisplatin in pediatric patients 1 month of age and older with localized, non-metastatic solid tumors","Fennec Pharmaceuticals, Inc.",PO Box 13628,68 T.W. Alexander Drive,Research Triangle Park,North Carolina,' 27709 ' ,United States,177303.0
sofosbuvir,Sovaldi,2016-10-25,Treatment of pediatric chronic hepatitis C virus infection,Designated/Approved,,,SOVALDI is indicated for the treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 3 years of age and older without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,2019-08-28,2026-08-28,For the treatment of chronic hepatitis C virus (HCV) genotype 2 or 3 infection in pediatric patients between 3 years of age and 12 years of age or weighing 35 kg without cirrhosis or with compensated cirrhosis for use in combination with ribavirin.,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,541716.0
sofosbuvir,Sovaldi,2016-10-25,Treatment of pediatric chronic hepatitis C virus infection,Designated/Approved,,,SOVALDI is indicated for the treatment of chronic HCV genotype 2 or 3 infection in pediatric patients 3 years of age and older without cirrhosis or with compensated cirrhosis for use in combination with ribavirin,2019-08-28,,,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,541716.0
